id,food_name,calories,protein_g,fat_g,carbs_g,disease_tags
23,Egg Variant 33,54,27.81,0.24,77.12,"Weight-Loss, Balanced, High-Protein"
24,Carrot Variant 32,33,5.76,11.16,56.3,"Heart-Healthy, Liver-Friendly, Balanced"
25,Apple Variant 19,242,12.89,20.8,10.04,"Balanced, Low-Carb"
26,Chicken Breast Variant 24,63,11.89,12.53,33.63,Low-Salt
27,Orange Variant 24,293,9.15,2.6,43.38,"Heart-Healthy, Diabetes-Friendly"
28,Tofu Variant 31,576,22.45,24.77,61.8,"Balanced, Low-Carb, Liver-Friendly"
29,Cheese Variant 3,478,28.97,11.41,69.1,"Low-Salt, Heart-Healthy"
30,Salmon Variant 23,451,32.46,13.67,77.65,"Balanced, Liver-Friendly, Low-Salt"
31,Yogurt Variant 32,197,39.43,14.85,79.98,"Weight-Loss, Liver-Friendly, High-Protein"
32,Beef Variant 22,136,17.22,13.65,55.35,"High-Protein, Kidney-Friendly"
33,Apple Variant 36,497,21.31,11.35,33.63,Kidney-Friendly
34,Egg Variant 49,77,8.38,14.76,24.18,"Liver-Friendly, Diabetes-Friendly, Low-Salt"
35,Banana Variant 49,263,14.42,15.73,4.29,"Kidney-Friendly, Diabetes-Friendly"
36,Egg Variant 7,587,28.16,17.65,40.37,"Diabetes-Friendly, High-Protein, Liver-Friendly"
37,Milk Variant 24,241,35.82,20.47,20.12,"High-Protein, Kidney-Friendly, Low-Carb"
38,Salmon Variant 43,392,27.01,7.08,19.17,High-Protein
39,Orange Variant 18,277,39.23,1.2,26.83,Balanced
40,Broccoli Variant 33,383,17.77,3.05,57.59,"Diabetes-Friendly, Kidney-Friendly"
41,Rice Variant 17,528,22.34,12.73,73.37,"Heart-Healthy, Low-Carb"
42,Pasta Variant 38,106,37.52,14.79,59.9,Diabetes-Friendly
43,Egg Variant 23,564,3.56,17.94,66.98,"Low-Carb, Balanced"
44,Chicken Breast Variant 30,191,17.02,12.78,65.43,"Weight-Loss, Low-Carb"
45,Almonds Variant 22,130,29.33,16.85,72.31,"High-Protein, Diabetes-Friendly, Kidney-Friendly"
46,Pasta Variant 11,496,24.95,3.39,48.3,Diabetes-Friendly
47,Orange Variant 26,413,25.35,5.69,14.28,"Balanced, Heart-Healthy"
48,Oats Variant 39,557,34.91,7.9,64.19,"Low-Salt, High-Protein, Low-Carb"
49,Cheese Variant 48,323,2.31,15.85,79.2,Low-Salt
50,Chicken Breast Variant 39,246,10.72,29.83,64.74,Kidney-Friendly
51,Cheese Variant 41,169,29.88,4.75,79.27,Balanced
52,Tofu Variant 8,267,35.42,29.4,69.88,"Liver-Friendly, Weight-Loss, Low-Carb"
53,Pasta Variant 25,242,20.09,21.43,29.87,Heart-Healthy
54,Potato Variant 31,272,35.78,27.2,31.08,Low-Carb
55,Beef Variant 22,591,17.83,16.73,19.31,"Balanced, Heart-Healthy"
56,Orange Variant 27,367,39.93,29.33,35.96,Heart-Healthy
57,Orange Variant 3,228,10.33,4.02,50.57,"Balanced, Liver-Friendly, Diabetes-Friendly"
58,Milk Variant 43,464,25.28,9.15,63,"Weight-Loss, Diabetes-Friendly, Kidney-Friendly"
59,Beef Variant 25,81,15.15,28.25,2.35,Weight-Loss
60,Rice Variant 44,175,13.02,0.49,51.14,"Heart-Healthy, Liver-Friendly, Weight-Loss"
61,Carrot Variant 20,592,3.3,0.39,29.66,"Balanced, Diabetes-Friendly, Heart-Healthy"
62,Banana Variant 23,31,15.94,20.51,20.48,Low-Salt
63,Egg Variant 36,434,36.7,24.15,21.29,"Diabetes-Friendly, Weight-Loss"
64,Apple Variant 35,133,21.6,3.55,72.14,"Low-Salt, Balanced"
65,Carrot Variant 13,223,11.81,9.78,57.76,"Low-Carb, Balanced, Heart-Healthy"
66,Apple Variant 27,521,13.08,15.14,73.04,Low-Salt
67,Broccoli Variant 45,96,20.31,0.95,61.12,Liver-Friendly
68,Beef Variant 15,543,3.39,7.73,3.22,"High-Protein, Diabetes-Friendly, Liver-Friendly"
69,Bread Variant 25,562,17.15,28.87,24.29,Diabetes-Friendly
70,Apple Variant 43,101,15.7,14.55,64.09,"Low-Salt, High-Protein, Balanced"
71,Orange Variant 22,372,35.92,14.43,11.97,"Low-Carb, High-Protein, Diabetes-Friendly"
72,Almonds Variant 4,185,27.63,27.44,3.54,"Low-Salt, Balanced"
73,Pasta Variant 8,423,39.54,4.82,39.87,"Low-Salt, High-Protein, Kidney-Friendly"
74,Cheese Variant 41,334,26.93,8.11,7.44,"Heart-Healthy, Low-Carb, Kidney-Friendly"
75,Apple Variant 24,276,36.06,10.75,75.28,High-Protein
76,Broccoli Variant 28,282,2.19,15.15,55.28,"Balanced, Low-Carb, Diabetes-Friendly"
77,Oats Variant 42,194,17.42,11.71,7.65,"Kidney-Friendly, Weight-Loss, Balanced"
78,Carrot Variant 21,402,19.86,2.61,30.55,"Liver-Friendly, Kidney-Friendly, Low-Salt"
79,Apple Variant 35,474,30.3,2.69,8.67,"Balanced, Kidney-Friendly, Liver-Friendly"
80,Yogurt Variant 46,86,5.95,8.95,1.48,"High-Protein, Weight-Loss, Balanced"
81,Chicken Breast Variant 37,64,26.46,5.49,28.17,Low-Carb
82,Beef Variant 36,565,26.12,28.25,37.93,"Low-Carb, Balanced, Kidney-Friendly"
83,Yogurt Variant 37,436,33.89,1.21,22.94,Kidney-Friendly
84,Salmon Variant 23,178,6.66,21.44,51.53,"Liver-Friendly, High-Protein, Balanced"
85,Almonds Variant 7,76,5.21,14.89,39.23,Low-Carb
86,Orange Variant 30,100,12.36,27.18,13.31,"Kidney-Friendly, Balanced, Low-Carb"
87,Oats Variant 6,59,36.57,9.21,54.39,"Low-Salt, Diabetes-Friendly, Balanced"
88,Spinach Variant 16,467,9.04,26.26,32.01,"Balanced, Liver-Friendly, Low-Carb"
89,Cheese Variant 8,154,13.71,0.95,23.36,Weight-Loss
90,Cheese Variant 48,77,27.23,19.48,32.8,"Weight-Loss, Heart-Healthy"
91,Apple Variant 6,390,37.59,1.81,67.95,"Liver-Friendly, Diabetes-Friendly, Low-Salt"
92,Potato Variant 28,459,38.28,22.23,56.68,Liver-Friendly
93,Beef Variant 33,416,4.81,21.04,54.74,"High-Protein, Low-Salt"
94,Banana Variant 24,379,8.62,17.99,14,"Heart-Healthy, Liver-Friendly"
95,Orange Variant 13,542,35.64,10.74,62.36,Kidney-Friendly
96,Potato Variant 3,488,18.68,16.29,19.29,"Heart-Healthy, Weight-Loss, Liver-Friendly"
97,Potato Variant 1,100,26.91,25.71,22.73,"Diabetes-Friendly, Balanced"
98,Carrot Variant 5,194,26.22,11.58,23.3,"Heart-Healthy, High-Protein"
99,Potato Variant 41,435,8.26,28.35,49.26,Liver-Friendly
100,Apple Variant 16,69,36.1,10.37,62.21,Low-Salt
101,Orange Variant 13,53,25.61,8.14,48.01,"Kidney-Friendly, Weight-Loss"
102,Apple Variant 8,262,26.66,10.8,62.34,Diabetes-Friendly
103,Pasta Variant 39,450,32.47,15.28,65.22,High-Protein
104,Tofu Variant 34,372,29.37,6.64,22.86,"Diabetes-Friendly, Balanced, Weight-Loss"
105,Bread Variant 23,116,36.27,28.74,77.17,"Diabetes-Friendly, Heart-Healthy, Low-Salt"
106,Yogurt Variant 43,242,14.48,10.48,69.04,"Weight-Loss, Heart-Healthy, Diabetes-Friendly"
107,Rice Variant 11,557,33.87,1.75,14.76,"Diabetes-Friendly, Low-Carb"
108,Salmon Variant 17,440,24.81,0.32,60.89,Weight-Loss
109,Beef Variant 17,550,33.31,8.23,22.13,"Heart-Healthy, Low-Salt, Low-Carb"
110,Banana Variant 37,194,24.45,12.8,22.5,Weight-Loss
111,Rice Variant 41,584,9.98,6.1,50.14,Diabetes-Friendly
112,Beef Variant 25,577,19.97,19.8,24.42,"Liver-Friendly, Low-Carb, High-Protein"
113,Apple Variant 3,369,16.62,3.7,24.08,"Diabetes-Friendly, Balanced"
114,Broccoli Variant 13,402,3.87,12.75,12.81,"Kidney-Friendly, Weight-Loss"
115,Bread Variant 14,149,3.67,7.65,46.76,"Balanced, Weight-Loss"
116,Bread Variant 23,304,6.3,5.34,48.01,Balanced
117,Beef Variant 17,535,13.54,7.82,73.39,"High-Protein, Diabetes-Friendly, Liver-Friendly"
118,Pasta Variant 5,334,6.56,24.52,43.88,"Diabetes-Friendly, Kidney-Friendly, Heart-Healthy"
119,Oats Variant 4,174,26.71,17.14,34.54,Low-Salt
120,Broccoli Variant 13,435,18.41,29.11,2.97,Weight-Loss
121,Chicken Breast Variant 8,244,13.2,29.11,79.64,"Liver-Friendly, Heart-Healthy"
122,Banana Variant 33,421,20.75,5.22,9.2,Kidney-Friendly
123,Bread Variant 21,534,5.29,0.99,44.76,"High-Protein, Weight-Loss"
124,Beef Variant 36,108,11.54,18.58,57.32,"Weight-Loss, Low-Carb"
125,Broccoli Variant 14,289,36.97,24.08,19.49,"Liver-Friendly, High-Protein"
126,Broccoli Variant 22,84,35.4,23.44,2.14,"Heart-Healthy, Balanced"
127,Potato Variant 21,433,31.99,26.93,57.46,"Diabetes-Friendly, Low-Carb"
128,Potato Variant 26,367,13.62,20.12,73.83,"High-Protein, Diabetes-Friendly, Balanced"
129,Orange Variant 18,373,30.26,11.63,54.58,"Liver-Friendly, Weight-Loss"
130,Spinach Variant 25,519,3.62,4.9,73.85,"High-Protein, Weight-Loss"
131,Beef Variant 11,378,31.19,5.34,38.46,"Heart-Healthy, Low-Carb, Low-Salt"
132,Tofu Variant 26,377,1.02,1.77,40.81,"Weight-Loss, Low-Carb, Low-Salt"
133,Spinach Variant 38,300,25.01,12.84,1.66,Low-Carb
134,Apple Variant 27,314,12.24,15.69,57.6,"Kidney-Friendly, High-Protein, Diabetes-Friendly"
135,Apple Variant 38,255,37.8,8.89,68.42,"Weight-Loss, Liver-Friendly"
136,Beef Variant 39,322,2.17,7.69,64.78,"Heart-Healthy, High-Protein"
137,Tofu Variant 29,126,28.32,25.44,3.73,"Balanced, Diabetes-Friendly, Weight-Loss"
138,Yogurt Variant 8,133,9.63,20.01,40.39,"Low-Salt, Low-Carb, Balanced"
139,Chicken Breast Variant 24,516,33.97,23.18,7.91,"Weight-Loss, High-Protein, Heart-Healthy"
140,Banana Variant 48,465,1.52,16.35,35.48,"High-Protein, Kidney-Friendly"
141,Cheese Variant 18,345,23.55,23.16,52.17,"Low-Carb, Low-Salt, Heart-Healthy"
142,Apple Variant 20,251,15.56,19.06,67.09,"Weight-Loss, Diabetes-Friendly"
143,Milk Variant 10,447,37.77,29.16,50.7,"Low-Carb, Balanced, Heart-Healthy"
144,Almonds Variant 36,335,31.46,28.9,4.13,"Heart-Healthy, Balanced"
145,Egg Variant 32,285,6.92,5.42,39.85,Weight-Loss
146,Oats Variant 3,161,11.04,6.96,42.3,"Weight-Loss, Balanced"
147,Broccoli Variant 26,208,25.23,10.81,62.48,"High-Protein, Diabetes-Friendly"
148,Almonds Variant 40,484,18.56,16.09,9.94,Heart-Healthy
149,Banana Variant 31,146,1.86,27.37,32.06,"Kidney-Friendly, Low-Carb"
150,Rice Variant 45,113,14.26,18.77,50.71,Balanced
151,Banana Variant 23,173,17.91,21.53,45.52,"Low-Carb, Liver-Friendly"
152,Beef Variant 17,383,21.13,11.13,12.87,"High-Protein, Liver-Friendly"
153,Beef Variant 13,300,29,17.96,1.57,"Weight-Loss, High-Protein"
154,Cheese Variant 37,478,22.66,3.35,19.61,"Kidney-Friendly, Balanced, Low-Salt"
155,Potato Variant 14,63,6.69,23.24,7.78,"Weight-Loss, Low-Carb"
156,Carrot Variant 4,81,32.76,3.72,64.4,"Heart-Healthy, Diabetes-Friendly"
157,Yogurt Variant 33,385,26.41,22.52,1.54,"Low-Salt, Diabetes-Friendly, Heart-Healthy"
158,Almonds Variant 14,429,39,15.29,12.31,"Low-Carb, High-Protein, Weight-Loss"
159,Banana Variant 21,240,20.28,9.49,9.77,"Liver-Friendly, Low-Carb"
160,Pasta Variant 31,441,15.28,3.08,64.11,Weight-Loss
161,Broccoli Variant 17,167,26.43,13.82,45.88,"Liver-Friendly, Low-Salt"
162,Milk Variant 43,353,26.82,21.79,51.08,Low-Carb
163,Bread Variant 11,555,4.1,26.76,13.35,"Heart-Healthy, Kidney-Friendly, Diabetes-Friendly"
164,Almonds Variant 5,157,23.73,16.57,14.11,Balanced
165,Banana Variant 2,424,37.48,4.45,37.42,"Low-Carb, Liver-Friendly"
166,Yogurt Variant 8,188,2.8,22.31,6.38,"Balanced, Diabetes-Friendly, Heart-Healthy"
167,Oats Variant 8,106,39.09,21.25,38.89,"Weight-Loss, Low-Salt, Heart-Healthy"
168,Almonds Variant 5,273,25.75,23.49,9.76,Low-Salt
169,Beef Variant 25,134,29.23,28.35,44.77,"Diabetes-Friendly, Kidney-Friendly"
170,Cheese Variant 1,160,28.42,0.53,19.16,"Weight-Loss, Low-Salt"
171,Milk Variant 17,128,33.57,3.95,57.56,"Diabetes-Friendly, Low-Salt"
172,Spinach Variant 6,340,30.26,13.54,76.89,Kidney-Friendly
173,Pasta Variant 47,239,17.24,22.81,73.28,"Diabetes-Friendly, Low-Salt"
174,Tofu Variant 42,399,12.89,7.04,69.09,"Liver-Friendly, Kidney-Friendly"
175,Spinach Variant 49,397,7.23,3.37,20.79,"Diabetes-Friendly, Weight-Loss, Low-Carb"
176,Spinach Variant 29,330,33.09,8.67,75.46,"Liver-Friendly, High-Protein, Low-Carb"
177,Bread Variant 22,188,16.59,9.28,54.42,Low-Carb
178,Spinach Variant 18,487,2.58,3.19,29.89,"Weight-Loss, High-Protein"
179,Almonds Variant 16,431,2.31,19.2,25.39,"Kidney-Friendly, High-Protein, Diabetes-Friendly"
180,Spinach Variant 44,556,11.74,4.18,76.55,Liver-Friendly
181,Cheese Variant 44,222,10.49,28.95,52.41,"Low-Salt, Balanced, Weight-Loss"
182,Almonds Variant 15,507,37.66,12.2,33.49,Kidney-Friendly
183,Carrot Variant 45,556,33.08,10.66,38.76,"Kidney-Friendly, Low-Carb"
184,Bread Variant 42,31,20.25,6.85,49.13,Low-Carb
185,Salmon Variant 41,57,36.71,19.45,77.05,"Balanced, Kidney-Friendly, Low-Salt"
186,Pasta Variant 28,502,14.52,4.68,15.32,"Balanced, Low-Salt"
187,Milk Variant 36,308,2.71,15.89,27.58,"Balanced, Low-Salt, High-Protein"
188,Carrot Variant 42,590,22.65,4.55,5.91,"Balanced, Kidney-Friendly, Weight-Loss"
189,Yogurt Variant 28,204,5.66,19.27,79.22,"Kidney-Friendly, Balanced"
190,Potato Variant 29,359,37.89,20.08,47.88,"Diabetes-Friendly, Liver-Friendly"
191,Yogurt Variant 36,137,11.9,6.14,56.25,Balanced
192,Rice Variant 42,577,37.31,9.93,30.1,"Heart-Healthy, Diabetes-Friendly, Liver-Friendly"
193,Yogurt Variant 47,262,10.44,28.02,2.8,Weight-Loss
194,Almonds Variant 23,585,4.78,28.7,73.55,"Diabetes-Friendly, Liver-Friendly"
195,Apple Variant 42,257,34.65,28.89,64.52,"Diabetes-Friendly, Balanced, Weight-Loss"
196,Potato Variant 35,489,30.58,29.43,69.62,High-Protein
197,Rice Variant 41,593,8.83,28.66,1.8,"Low-Carb, Low-Salt"
198,Pasta Variant 14,246,34.71,8.09,71.91,Weight-Loss
199,Carrot Variant 12,379,19.36,28.68,69.56,"Heart-Healthy, Liver-Friendly"
200,Bread Variant 42,382,27.83,1.01,9.65,"Kidney-Friendly, High-Protein"
201,Pasta Variant 34,574,39.33,10.13,58.36,"Weight-Loss, Low-Carb, High-Protein"
202,Milk Variant 16,478,38.72,11.57,12.7,"Liver-Friendly, Weight-Loss"
203,Potato Variant 7,58,32.73,23.02,38.41,Balanced
204,Oats Variant 23,181,32.36,19.39,15.9,"Kidney-Friendly, Balanced, Liver-Friendly"
205,Yogurt Variant 2,340,0.79,0.39,57.46,"Balanced, Weight-Loss"
206,Spinach Variant 16,202,20.18,3,32.55,Liver-Friendly
207,Beef Variant 14,356,18.71,29.02,48.95,"High-Protein, Heart-Healthy, Low-Salt"
208,Orange Variant 47,235,21.42,23.57,8.28,Weight-Loss
209,Egg Variant 3,449,2.34,4.2,39.48,"High-Protein, Heart-Healthy, Kidney-Friendly"
210,Yogurt Variant 6,312,39.34,3.72,24.96,"Diabetes-Friendly, High-Protein, Heart-Healthy"
211,Banana Variant 49,310,32.82,2.75,60.5,"Kidney-Friendly, Low-Carb, Low-Salt"
212,Pasta Variant 46,181,9.26,15.92,78.83,"Diabetes-Friendly, High-Protein"
213,Cheese Variant 41,567,27.83,16.39,9.45,"Liver-Friendly, Low-Salt"
214,Orange Variant 48,584,39.69,3.83,46.67,Liver-Friendly
215,Cheese Variant 15,135,23.38,23.08,49.38,"Low-Salt, Liver-Friendly"
216,Potato Variant 7,550,34.48,1.42,7.77,Balanced
217,Salmon Variant 42,53,23.25,9.23,20.37,"Weight-Loss, Kidney-Friendly"
218,Broccoli Variant 44,349,9.39,0.73,71.41,"Balanced, Heart-Healthy, High-Protein"
219,Beef Variant 25,547,13.13,17.97,27.26,"Kidney-Friendly, Low-Salt"
220,Tofu Variant 3,156,21.72,9.1,28.99,"Low-Salt, Weight-Loss"
221,Rice Variant 50,308,30.1,7.1,52.83,Low-Salt
222,Carrot Variant 6,391,26.92,10.06,17.89,Weight-Loss
223,Pasta Variant 46,553,21.07,11.17,16.14,Weight-Loss
224,Milk Variant 7,305,24.1,20.86,78.96,"High-Protein, Diabetes-Friendly"
225,Pasta Variant 26,516,17.92,13.82,42.04,Low-Salt
226,Cheese Variant 18,128,25.11,1.74,61.49,"Low-Salt, Kidney-Friendly"
227,Cheese Variant 44,472,11.29,2.06,5.43,Diabetes-Friendly
228,Orange Variant 36,51,17.54,22.32,26.48,"Diabetes-Friendly, Low-Salt"
229,Oats Variant 49,162,39.66,26.78,41.17,"Balanced, Diabetes-Friendly, Low-Carb"
230,Oats Variant 33,375,34.99,10.23,37.73,Weight-Loss
231,Orange Variant 15,221,14.52,17.14,58.44,Low-Carb
232,Egg Variant 3,529,24.87,4.39,10.14,Balanced
233,Bread Variant 37,379,17.27,12.33,63.44,"Liver-Friendly, Kidney-Friendly"
234,Almonds Variant 7,480,27.18,11.47,7.61,"Low-Salt, Diabetes-Friendly"
235,Bread Variant 25,118,36.34,0.18,12.8,"Low-Salt, Low-Carb, Balanced"
236,Broccoli Variant 44,324,17.18,19.55,30.83,"Low-Salt, Weight-Loss"
237,Milk Variant 27,252,33.06,29.81,30.85,Kidney-Friendly
238,Salmon Variant 41,358,17.58,29.2,66.12,"Low-Carb, Kidney-Friendly, Low-Salt"
239,Egg Variant 46,415,16.01,26.37,33.77,"Kidney-Friendly, Balanced, Weight-Loss"
240,Salmon Variant 7,258,9.99,10.46,26.15,"Low-Carb, Liver-Friendly"
241,Bread Variant 15,88,11.34,13.86,36.72,Liver-Friendly
242,Salmon Variant 18,582,18.1,26.27,65.07,"Low-Salt, Kidney-Friendly"
243,Egg Variant 31,135,1.49,27.11,72.47,"Low-Salt, Liver-Friendly"
244,Potato Variant 1,377,13.63,2.57,46.48,"Liver-Friendly, Kidney-Friendly"
245,Pasta Variant 30,566,14.68,8.12,34.03,Diabetes-Friendly
246,Yogurt Variant 10,538,39.8,8.69,25.84,"Low-Salt, Balanced, Weight-Loss"
247,Almonds Variant 23,587,2.96,3.31,15.89,"Liver-Friendly, Low-Carb"
248,Oats Variant 8,451,5.69,7.5,49.81,Liver-Friendly
249,Egg Variant 40,234,32.24,21.73,78.24,Kidney-Friendly
250,Potato Variant 26,65,39.33,14.77,46.38,"High-Protein, Kidney-Friendly, Diabetes-Friendly"
251,Bread Variant 50,230,18.41,24.78,68.12,"Kidney-Friendly, Heart-Healthy, Low-Salt"
252,Beef Variant 33,496,19.31,22.61,1.73,High-Protein
253,Tofu Variant 35,346,7.17,27.86,52.49,Kidney-Friendly
254,Tofu Variant 48,113,7.78,16.29,1.03,"Liver-Friendly, Diabetes-Friendly, Weight-Loss"
255,Spinach Variant 12,35,22.61,4.9,9.68,"Balanced, Weight-Loss, Low-Carb"
256,Bread Variant 26,181,23.55,11.29,20.46,"Low-Salt, Weight-Loss"
257,Spinach Variant 29,404,13.23,13.64,50.8,"Diabetes-Friendly, Heart-Healthy, Weight-Loss"
258,Beef Variant 33,59,19.98,23.85,3.21,"Kidney-Friendly, Weight-Loss"
259,Bread Variant 11,149,16.15,21.69,18.54,"Weight-Loss, Diabetes-Friendly"
260,Pasta Variant 41,505,39.5,21.13,56.97,"Low-Salt, Liver-Friendly, Balanced"
261,Yogurt Variant 8,580,6.7,2.55,50.33,Kidney-Friendly
262,Tofu Variant 3,112,15.95,25.67,58.55,"Balanced, Diabetes-Friendly, Liver-Friendly"
263,Spinach Variant 37,209,10.61,3.36,74.67,"High-Protein, Heart-Healthy, Weight-Loss"
264,Milk Variant 48,95,15.3,13.62,71.14,"Kidney-Friendly, Weight-Loss"
265,Bread Variant 15,339,16.01,21.14,39.46,"Balanced, Low-Salt, High-Protein"
266,Broccoli Variant 49,230,38.25,12.08,48.41,Heart-Healthy
267,Banana Variant 43,324,22.7,29.8,21.28,"Liver-Friendly, High-Protein"
268,Pasta Variant 33,468,2.41,7.56,19.11,"Weight-Loss, Low-Salt"
269,Spinach Variant 29,517,16.39,6.08,35.05,High-Protein
270,Oats Variant 1,56,19.31,29.83,10.86,High-Protein
271,Almonds Variant 20,232,27.03,12.41,51.73,"Balanced, Heart-Healthy"
272,Carrot Variant 42,447,21.44,27.57,33.77,Heart-Healthy
273,Milk Variant 14,281,17.52,13.86,5.44,"Weight-Loss, Diabetes-Friendly, Liver-Friendly"
274,Chicken Breast Variant 49,323,36.55,28.25,24.16,"Balanced, Low-Salt, High-Protein"
275,Apple Variant 25,250,8.2,0.88,7.06,"Weight-Loss, Liver-Friendly, Low-Salt"
276,Tofu Variant 23,101,30.23,19.57,21.02,"Weight-Loss, Liver-Friendly, Kidney-Friendly"
277,Tofu Variant 20,306,32.84,7.1,65.05,Balanced
278,Pasta Variant 5,179,1.28,13.43,38.04,"Low-Salt, Weight-Loss"
279,Oats Variant 42,558,9.36,0.37,15.57,"Diabetes-Friendly, High-Protein, Kidney-Friendly"
280,Carrot Variant 42,326,9.01,9.13,5.04,"Balanced, Heart-Healthy"
281,Salmon Variant 32,503,7.97,21.28,48.09,"Balanced, Diabetes-Friendly"
282,Tofu Variant 2,442,34.1,16.49,9.46,Low-Salt
283,Salmon Variant 20,85,9.27,14.71,2.44,"Weight-Loss, Low-Carb, Kidney-Friendly"
284,Milk Variant 14,192,33.03,14.3,48.8,Balanced
285,Rice Variant 4,82,21.64,0.36,19.09,"Low-Carb, Diabetes-Friendly, Heart-Healthy"
286,Carrot Variant 36,421,8.28,8.15,23.36,"High-Protein, Kidney-Friendly, Low-Salt"
287,Salmon Variant 48,460,30.85,17.85,1.97,Diabetes-Friendly
288,Chicken Breast Variant 30,467,7.29,2.36,7,"Diabetes-Friendly, High-Protein"
289,Pasta Variant 3,99,33.32,3.31,62.4,Kidney-Friendly
290,Broccoli Variant 24,455,27.36,17.16,62.3,"Low-Carb, Weight-Loss"
291,Pasta Variant 2,444,33.51,14.19,40.15,Weight-Loss
292,Salmon Variant 48,236,16.29,16.17,48.61,"Balanced, High-Protein"
293,Salmon Variant 23,112,2.28,27,11.87,"Low-Carb, High-Protein, Balanced"
294,Cheese Variant 49,144,3.52,14.64,15.79,Weight-Loss
295,Potato Variant 49,581,25.02,18.96,23.47,"Heart-Healthy, Liver-Friendly, Diabetes-Friendly"
296,Oats Variant 37,544,12.93,7.64,41.29,"Balanced, Heart-Healthy, Low-Salt"
297,Almonds Variant 42,257,17.16,28.45,20.87,"Weight-Loss, Kidney-Friendly"
298,Carrot Variant 13,426,23.42,14.53,40.9,"Low-Carb, Weight-Loss"
299,Pasta Variant 25,135,11.03,25.64,70.73,"Balanced, Liver-Friendly"
300,Pasta Variant 1,200,28.13,26.61,56.58,"Low-Salt, Low-Carb"
301,Rice Variant 21,535,3.2,14.21,18.36,"Kidney-Friendly, Low-Carb"
302,Banana Variant 6,356,7.8,25.48,76.38,"Balanced, Diabetes-Friendly"
303,Oats Variant 38,292,12.41,22.89,35.66,"Weight-Loss, Heart-Healthy"
304,Beef Variant 3,59,34.7,16.32,28.6,"Heart-Healthy, High-Protein"
305,Orange Variant 12,475,24.58,13.91,63.4,"Weight-Loss, Low-Salt"
306,Rice Variant 2,79,23.39,26.33,65.16,"Low-Salt, Low-Carb"
307,Milk Variant 43,140,36.63,17.3,78.82,High-Protein
308,Milk Variant 9,87,11.71,18.96,13.35,"Low-Salt, Heart-Healthy, Weight-Loss"
309,Spinach Variant 19,37,29.68,29.37,19.55,Heart-Healthy
310,Chicken Breast Variant 49,328,39.07,22.74,54.74,"Liver-Friendly, Low-Salt, Low-Carb"
311,Bread Variant 6,459,8.53,6.23,48.54,"Heart-Healthy, Diabetes-Friendly, Liver-Friendly"
312,Egg Variant 42,108,33.43,5.66,48.47,Kidney-Friendly
313,Beef Variant 50,223,22.84,14.37,28.72,Diabetes-Friendly
314,Tofu Variant 13,129,2.63,5.01,61.7,"Low-Salt, High-Protein"
315,Oats Variant 35,285,5.21,27.96,70.15,Low-Salt
316,Almonds Variant 7,496,12.94,6.22,50.65,"Kidney-Friendly, Low-Carb, Balanced"
317,Chicken Breast Variant 29,330,24.05,27.14,22.23,"High-Protein, Weight-Loss"
318,Apple Variant 47,413,3.14,15.34,18.36,"High-Protein, Kidney-Friendly"
319,Chicken Breast Variant 8,214,7.87,22.32,15.17,"High-Protein, Low-Carb, Kidney-Friendly"
320,Apple Variant 6,511,18.78,7.52,61.4,"Low-Salt, Kidney-Friendly"
321,Milk Variant 21,295,15.06,5.18,53.46,"Kidney-Friendly, Weight-Loss, High-Protein"
